sys_sql_id,in_HAS_SEG_PROFILE_THEME_E,in_HAS_SEG_TAXONOMY_ASPECT_E,name,keywords
2,"[#105:4, #106:13]","[#107:1, #108:29, #107:58, #108:86, #107:115, #108:143]",bar,"[ drink, drinks, bartender, bartenders, mocktail, mocktails, cocktails, bar, cocktail, brewers, brewery, breweries, micro brewery, toast]"
4,[#106:2],"[#107:2, #108:30, #107:59, #108:87, #107:116, #108:144]",breakfast,"[ egg, eggs, fruit, fruits, pancake, pancakes, cookie, cookies, snack, bfast, breakfast, bf, breakfasts, break fast, brunch, waffles, omelette, omlette, bacon, toast, bread, bread toast, brown bread, juice, canned juice, salads, oj, salad, beans, sprout, sprouts, french toast, butter, jam, juices, oatmeal, porridge, yogurt, yogurts, bun, buns, sandwich, sandwiches, apple, Bagel, cereals, Fruit basket, nibbles]"
6,[#105:5],"[#107:3, #108:31, #107:60, #108:88, #107:117, #108:145]",cuisines,"[ vegetarian cuisine, non-vegetarian cuisine, continental cuisine, south indian cuisine, american cuisine, indian cuisine, continental cuisine, south indian food, american food, north indian cuisine, english cuisine cuisine, cuisine, gujarati cuisine, east indian cuisine, thai cuisine, japanese cuisine, mediterranean cuisine, italian cuisine, korean cuisine, tibetian cuisine, jain cuisine, multi-cuisine, oriental meal, arabic cuisine, arabian cusine, arabian food, mexican cuisine, tex mex, tex-mex, asian cuisine, asian food, chinese cuisine, chinese food, vietnamese cuisine, lebanese cuisine, lebanese food, french food, cuisines, french cuisine, Oriental Cuisine, Outlet]"
8,[#106:3],"[#107:4, #108:32, #107:61, #108:89, #107:118, #108:146]",food,"[ starters, soup, soups, platter, carte, vegetarian, seafood, sea-food, seafoods, sea-foods, flavor, flavour, flavors, flavours, spicy, sauce, spices, spice, vegetables, food, spread, food spread, foods, alacarte, ala carte, snacks, buffet, main course, diet food, menu, food item, food items, meals, accompaniment, meal, lunch, dinner, chicken, sidedish, side dish, pork, prawns, fish, fish fry, food option, food options, options, food selection, food choice, food choices, food variety, food varities, dish, delicacy, varity, varities, culinary, almond, appetite, appetizer, assortment, Bakery, canapes, Chaat, chat, course, item, list, Refreshments, Sachets]"
10,[#105:6],"[#107:5, #108:33, #107:62, #108:90, #107:119, #108:147]",indian food,"[ curry, curries, thali, kebab, kebabs, kabab, kababs, tikka, dal, makhni, makhani, masala, paneer, chilly chicken, biryani, rice, roti, naan, kulcha, butter naan, butter kulcha, tandoor roti]"
12,"[#106:4, #105:13]","[#107:6, #108:34, #107:63, #108:91, #107:120, #108:148]",ambience,"[ environment, look, feel, surroundings, sound, sounds, beauty, breeze, culture, peace, mood, sunset, vibe, vibes, scene, fragrance, fragrances, calm, aroma, aromas, noise, surrounding, ecofriendly, atmosphere, quality, ambience, ambiance]"
14,,"[#107:7, #108:35, #107:64, #108:92, #107:121, #108:149]",hotel decor,"[ decor, decors, style, wall, walls, setting, exterior, exteriors, setup, set-up, facade, technology, tech, display, displays, hotel decor, architecture, infrastructure, landscape, hotel outlook, hotel appearance, hotel condition, hotel style, entrance, gallery, lobby, corridor, hotel interior, d�cor, aesthetic, gate, gateway, highlight, Paint, step]"
16,,"[#107:8, #108:36, #107:65, #108:93, #107:122, #108:150]",hotel location,"[ area, areas, eateries, eatery, vicinity, spot, accessibility, base, neighborhood, neighborhoods, reach, path, paths, lanes, lane, track, alley, alleys, address, access, location, locations, congestion, road, convenience, distance, proximity, location access, hotel location, place, places, neighbourhood, locality, localities, avenue, Bay, Bazaar, Bazar, Bridge, Circle, close, destination, destinations, downtown, highway, home, hospital, hub, Island, Lagoon, landmark, Neighbouhood, Orchard, Outside, terminal]"
18,,"[#107:9, #108:37, #107:66, #108:94, #107:123, #108:151]",sightseeing,"[ lake, lakes, sightseeing, sight, sights, pond, river, rivers, waterfall, waterfalls, attraction, mountains, river, site, street, tower]"
20,"[#106:9, #105:14]","[#107:10, #108:38, #107:67, #108:95, #107:124, #108:152]",entertainment,"[ party, fun, parties, band, bands, performance, performances, dj, disco, discotheque, nightlife, night-life, singing, programs, programmes, entertainment, bonfire, karaoke, vocalist, orchestra, movie, plays, theatre, exhibition, pub, art, dance, singer, musician, shows, club, shopping, night club, live music, livemusic, music, painter, nightclubs, weekend, anniversary, Birthday, broadway, camp, celebration, christmas, deck, event, Festival, function, honeymoon, occasion, Outing, Play, Season, songs, wedding]"
22,[#106:8],"[#107:11, #108:39, #107:68, #108:96, #107:125, #108:153]",sports & activity,"[ games, table tennis, shooting, billiards, snooker, golf, skydiving, activity, tour, tours, trekking, trek, horseride, dune bashing, safari, night safari, archery, photography, yoga, fitness, adventure, sports, paragliding, activities, court, game, Jungle, Match]"
24,,"[#107:12, #108:40, #107:69, #108:97, #107:126, #108:154]",room balcony,"[ private balcony, balconies, terrace, balcony, patio, portico]"
26,,"[#107:13, #108:41, #107:70, #108:98, #107:127, #108:155]",room decor,"[ mat, mats, outlook, condition, appearance, appearances, design, designs, colours, colors, color, colour, decoration, decorations, privacy, ventilation]"
28,,"[#107:14, #108:42, #107:71, #108:99, #107:128, #108:156]",room interior,"[ curtain, curtains, insulation, painting, interior, interiors, wallpaper, wallpapers, floorings, roof, roofs, ceiling, ceilings, flooring, wooden flooring, floor, floors, door, doors, window, windows, paintings, wood paneled, drapes, carpet, carpets, lamps, lighting, lights, blackout drapes, drape, cloth, clothes]"
30,,"[#107:15, #108:43, #107:72, #108:100, #107:129, #108:157]",room type,"[ room, suits, room type, single room, double room, standard room, rooms, room types, suite, deluxe, water villa, apartments, apartment, smoking, non-smoking, availability]"
32,,"[#107:16, #108:44, #107:73, #108:101, #107:130, #108:158]",bathroom amenities,"[ soap, soaps, toiletries, designer toiletries, toothpaste, toothbrush, toothbrushes, brush, conditioner, shampoo, moisturizer, towel, towels, room towel, room towels, hand towel, hand towels, tooth brush, paste, comb, tissue, tissues, napkin, napkins, toilet paper, bucket, bud, ear bud, earbud]"
34,,"[#107:17, #108:45, #107:74, #108:102, #107:131, #108:159]",bathroom facilities,"[ bathroom, bath, tub, tubs, flush, drain, geyser, drainage, hook, hanger, mirror, basin, sink, wash basin, bathrooms, bathtub, toilet, washroom, washrooms, tiles, shower, shower cabin, tile, bath-tub, tap, taps]"
36,[#106:11],"[#107:18, #108:46, #107:75, #108:103, #107:132, #108:160]",room bar,"[ mini bar, fully stocked bar, water, opener, minibar, mini-bar, roombar, minibars, mini-bars, ice]"
38,,"[#107:19, #108:47, #107:76, #108:104, #107:133, #108:161]",room kitchenware,"[ glasses, glass, cup, cups, cutlery, bowl, pot, pots, refrigerator, fridge, washing-machine, bottle, kitchen, kitchenette, cookware, espresso coffee machine, tea maker, microwave, jug, kitchen ware, plate, tea cup, crockery, kettle, tea bags, nescafe, kitchenware, kitchen-ware, appliance, Key, lock]"
40,,"[#107:20, #108:48, #107:77, #108:105, #107:134, #108:162]",business center,"[ presentation, business center, cisco, projector, projectors, training room, printer, stationery, files, folders, tele conference, teleconference, video conference, notepad, meeting room, conference room, xerox, photocopy, Adopter, business centre, businesscenter, businesscentre, conference]"
42,,"[#107:21, #108:49, #107:78, #108:106, #107:135, #108:163]",hotel amenities,"[ hall, halls, equipment, equipments, casino, atrium, rooftop, gymnasium, aminities, amenties, hallway, hallways, casinos, amenities, amenity, gym, health club, library, banquet halls, lounge, banquet, amenteis, Ballroom, book, electricity, Machine, Phone, Seat, telephones]"
44,,"[#107:22, #108:50, #107:79, #108:107, #107:136, #108:164]",maintenance,"[ stains, stain, mosquitoes, mosquito, mosquitos, insect, insects, ants, flies, stench, plumbing, wires, wire, wiring, odor, renovation, powercuts, powercut, leakage, rust, smell, odour, upkeep, maintenance, repair, construction, interior-maintenance, exterior-maintenance, condition, conditions, disturbance, disturbances, pest, roaches, cockroach, bedbug, bedbugs, bed bug, bed bugs, pestcontrol, alteration, bug, insect, smoke]"
46,,"[#107:23, #108:51, #107:80, #108:108, #107:137, #108:165]",housekeeping,"[ cleaning, cleanness, dust, dirt, laundry, cleanliness, housekeeping, shoe shine, maid, room boys, cleaner, helper, hygiene, shoeshine, house-keeping, cleaniness, technician]"
48,,"[#107:24, #108:52, #107:81, #108:109, #107:138, #108:166]",reception,"[ checkout, checkin, concierge, foyer, greetings, bouquet, bouquets, reception, receptionist, frontoffice, garland, garlands, check-in, checked-in, checked-out, check-out, check-outs, check-ins, front office, concierge desk, travel desk, porter, bellboy, bellboys, luggage desk, checkins, checkouts, front-office, 2-wheeler, 24 Hours, 24hours    , 24Hrs, 24hrs, 24x7, arrival, Bag, Bag, Baggage, bell, bellman, bellmen, call, departure, hr, hrs, luggage, office, Operator]"
50,,"[#107:25, #108:53, #107:82, #108:110, #107:139, #108:167]",hotel staff,"[ job, staff, help, treatment, treatments, support, personnel, assistance, department, skills, skill, guide, owner, owners, crew, executives, doorman, doormen, chap, supervisor, manger, staf, staffs, staff, managers, administrator, attendant, manager, employee, management, team, professional, communication, member, members, liftman]"
52,,"[#107:26, #108:54, #107:83, #108:111, #107:140, #108:168]",hotel feedback,"[ complaint, impression, concern, concerns, downsides, suggestions, requirement, comment, comments, difficulty, difficulties, argument, arguments, scope, queue, glitches, hassle, hassles, reviews, review, problem, problems, response, complaints, disappointment, feedback, feedbacks, improvement, issue, issues, downside, drawback, efficiency , inconvenience, love, nightmare, Opinion, photos, picture, tip, tips]"
54,"[#105:8, #105:12]","[#107:27, #108:55, #107:84, #108:112, #107:141, #108:169]",internet,"[ connection, coverage, internet, data port, connectivity, routers, wi-fi, data card, wifi, speed, network, router, data ports, net, bandwidth, signal]"
56,[#106:14],"[#107:28, #108:56, #107:85, #108:113, #107:142, #108:170]",safety & security,"[ surveillance, bagagge scanners, crime, safety nets, child safety, scanner, metal detector, automobile check, alarm, theft alarm, smoke detectors, fire detectors, security guard, gatekeeper, guard, guards, safety, security]"
1,[#105:7],"[#108:0, #107:29, #108:57, #107:86, #108:114, #107:143]",alcohol,"[ liquor, whiskey, scotch, rum, cognac, daiquiri, tequila, long island tea, gin, wine, vodka, champange, malt, single malt, red wine, white wine, alcohol, beer, beers, martini, martinis, mojito, mojitos, margarita, margaritas, champagne]"
3,[#106:5],"[#108:1, #107:30, #108:58, #107:87, #108:115, #107:144]",beverages,"[ drink, drinks, chai, beverage, beverages, masala tea, tea, cofee, coffee, milk, buttermilk, water, mineral water, bottled water, green tea, coke, coca cola, pepsi, mirinda, 7 up, sprite, soda, ginger tea, masala ginger tea, 7up, 7-up, smoothie, smoothies, milkshake, milkshakes]"
5,[#105:2],"[#108:2, #107:31, #108:59, #107:88, #108:116, #107:145]",continental food,"[ pasta, pastas, cheese, cheeses, chips, sausages, sausage, fries, steak, croissant, pie, tenderloin, mayonnaise, ratatouille, pizza, thin crust, crust, carbonara, noodles, burger]"
7,[#106:6],"[#108:3, #107:32, #108:60, #107:89, #108:117, #107:146]",desserts,"[ deserts, dessert, desserts, gulab jamun, confectionery, chocolate, ice cream, sweets, cake, pastry, muffin, pastries, red velvet cake, pudding, halwa, carrot halwa, rasmalai, icecream, icecreams, ice-cream, ice-creams, gulabjamun, oil]"
9,[#105:3],"[#108:4, #107:33, #108:61, #107:90, #108:118, #107:147]",indian breakfast,"[ parantha, paranthas, paratha, parathas, idli, idlis, dosa, dosas, poori, pooris, vada, vadas, sambhar, poha, sambar, maggi]"
11,[#106:7],"[#108:5, #107:34, #108:62, #107:91, #108:119, #107:148]",restaurant,"[ dining, counter, counters, resturant, resturants, array, restaurent, restaurents, dinning, cooking, kids chair, childs seat, restaurants, takeaways, coffee shop, food order, order, canteen, restaurant, diner, caf�, caf�s, cafes, cafe shop, cafe shops, cafe, cafeteria, cafeterias]"
13,,"[#108:6, #107:35, #108:63, #107:92, #108:120, #107:149]",hotel,"[ hotels, hotel, award, Concept , inside, Necessities, Necessity, Occupancy]"
15,,"[#108:7, #107:36, #108:64, #107:93, #108:121, #107:150]",hotel lawn," [  park, parks, grounds, ground, landscaping, courtyard, fountain, fountains, nature, lawns, lawn, trees, plants, garden, tree, grass, greenery, flower, flowers, Orchid, Palm, Palm trees, rose, Scenery, sky, skyline, tulips, walk, walkway]"
17,,"[#108:8, #107:37, #108:65, #107:94, #108:122, #107:151]",hotel property,"[  building, layout, premises, premise, buildings, structure, structures, stairs, complex, accomodation, accomodations, establishment, establishments, campus, brand, property, accommodation, stay, comfort, luxury, house, villa, villas, tent, tents, shack, shacks, farmhouse, country house, haveli, palace, resort, lodging, b&b, bnb, inn, cottage, suite, quarters, stays, house, hotel view, bunglow, bungalow, heritage hotel, hostel, dormetry, guest house, vacation rental, rental, bunkers, 4 Star, 5 Star, abode, aspect, asset, boutique, Chain, Class, corner, downstair, downstairs, fort, heritage, Hotel Chain, Mahal, Market, Palace]"
19,,"[#108:9, #107:38, #108:66, #107:95, #108:123, #107:152]",beach activity,"[  beach, beaches, sea, beach activity, parasailing, scuba diving, boat ride, sailing, surfing, scuba, diving, water sports, river rafting, rafting, kayaking, kayak, snorkeling, canoeing, jet skiing, boating, skiing, sail, boat, jetski, surfboard, Sand, waves]"
21,[#105:10],"[#108:10, #107:39, #108:67, #107:96, #108:124, #107:153]",relaxation,"[ saloon, barber, beautician, makeup, makeup artist, pedicure, manicure, facial, therapies, waxing, threading, parlour, meditation, health spa, spa, masseuse, masseuer, sunbath, sun bath, massage, therapy, jacuzzi, sauna, steam, reflexology, relaxation, parlor, relaxing, salon, rest, restful, foot massage, hairdo]"
23,[#106:12],"[#108:11, #107:40, #108:68, #107:97, #108:125, #107:154]",swimming pool,"[ swimming, poolside, pool-side, kids pool, infinity pool, pool, pools, outdoor pool, indoor pool, kidspool, outdoorpool, indoorpool, infinitypool]"
25,[#105:11],"[#108:12, #107:41, #108:69, #107:98, #108:126, #107:155]",room bedding,"[ bed, bedroom, blanket, blankets, cot, luxury lenin, feather comforter, plush euro top bed, roll away bed, crib, cribs, infant beds, premium bedding, sleep, quilt, quilts, bedspread, mattress, mattresses, lenins, lenin, linen, linens, sheets, sunbed, waterbed, bed linen, comforter, comforters, bed lamp, pillow case, pillow cover, beds, twin bed, double bed, pillow, pillows, bedding, night lamp, water bed, bedsheet, sheet, pillowcase, pillowcases, bedsheets, bed-sheets, bed-sheet, bedlinen, bedside, cover, cover]"
27,,"[#108:13, #107:42, #108:70, #107:99, #108:127, #107:156]",room furniture,"[ furnishings, seating, wardrobe, wardrobes, seats, cupboard, cupboards, closet, closets, lounger, loungers, furnishing, furniture, upholestry, table, tables, chairs, desk, desks, chair, couch, upholstery, upholsteries, sofa, sofas, oversized desk, working desk, upholstry, almirah]"
29,,"[#108:14, #107:43, #108:71, #107:100, #108:128, #107:157]",room service,"[ room service, wake-up call, wakeup call, laundry, room menu, morning call, in room dining, roomservice]"
31,,"[#108:15, #107:44, #108:72, #107:101, #108:129, #107:158]",room view,"[ view, views, room view, coast view, riverside view, sunset view, poolside view, ocean view, garden view, pool view, lake view, beach view, sea view]"
33,,"[#108:16, #107:45, #108:73, #107:102, #108:130, #107:159]",bathroom ancilliaries,"[ hairdryer, weighing machine, shaving cream, after shave, lotion, lotions, body lotion, loofah, gel, shower gel, razor, razors, kit, kits, bathrobe, robes, robe, shower cap, aftershave]"
35,,"[#108:17, #107:46, #108:74, #107:103, #108:131, #107:160]",room amenities,"[ freshener, keycard, flip flops, weighing machine, slipper, iron board, iron box, in room movies, cable channel, drinking water, alarm clock, reading lamp, amenity, newspaper, newspapers, magazine, magazines, life jacket, life jackets, torch light, torch, lamp, charger, clock , Flat Screen, iron, remote, remotecontrol, Screen]"
37,,"[#108:18, #107:47, #108:75, #107:104, #108:132, #107:161]",room facilities,"[ fireplace, power, aircon, air-conditioning, heater, dryer, airconditioning, air conditioning, fire place, heaters, intercom, ac, facility, facilities, fan, locker, safety deposit, tv, television, socket, gadget, device, sockets, switches, switch, fixture, fixtures, fitting, fittings, electrical fittings, button, channel, con , light, lighting]"
39,,"[#108:19, #107:48, #108:76, #107:105, #108:133, #107:162]",ancillary services,"[ dr, medicine, medicines, doctors, doctor, nurse, optician, physician, general physician, medical, medical care, kids care, daycare, firstaid, first-aid, ambulance]"
41,,"[#108:20, #107:49, #108:77, #107:106, #108:134, #107:163]",disability service,"[ handicap, handicaps, wheelchair, wheelchairs, disable access, disabled, handicap access, handicapped facilities]"
43,,"[#108:21, #107:50, #108:78, #107:107, #108:135, #107:164]",hotel facilities,"[ lift, arrangement, arrangements, facility, facilities, parking, atm, elevator, umbrella, staircase, barricade, currency exchange, forex, temperature, INR, USD]"
45,,"[#108:22, #107:51, #108:79, #107:108, #108:136, #107:165]",transport service,"[ drop, pick, chauffeur, chauffer, pickup, dropoff, pick-up, drop-off, driver, transfer, cabs, shuttle, car rental, bicyle, taxi, motor bike, motor cycle, transportation, transport, transports, transport service, valet, valet service, rides, ride, Airline, Airport, Auto, bus, bus, car, flight, Rail, Railway, Square, Station , subways, vehicle]"
47,,"[#108:23, #107:52, #108:80, #107:109, #108:137, #107:166]",professionalism,"[ manner, gesture, gestures, courtesy, kudos, professionalism, cooperation, co-operation, cooperations, appreciation, coordination, co-ordination, kindness, guidance, politeness, attitude, staff behaviour, staffs behaviour, behaviour, behavior, staff behavior, smile, apology, Communication, friendliness, helpful, instruction, Interaction, Knowledge, Language, manners]"
49,,"[#108:24, #107:53, #108:81, #107:110, #108:138, #107:167]",restaurant staff,"[ server, servers, chef, cook, steward, stewardess, waiter, waiters, hostess, host, housekeeper]"
51,,"[#108:25, #107:54, #108:82, #107:111, #108:139, #107:168]",hotel experience,"[ taste, space, mention, feeling, approach, use, info, information, types, effort, efforts, lack, treat, tastes, spaces, getaway, delight, moments, moment, excellence, theme, themes, satisfaction, experiance, memory, memories, retreat, living, experince, expereince, haven, benefits, benefit, balance, guests, customer, customers, guest, request, booking, bookings, direct booking, guideline, system, process, procedure, procedures, confirmation, inquiry, standards, standard, reservation, registration, hospitality, service, care, experience, charm, pleasure, weather, trip, trips, advantage, adult, adult, backpacks, Business, client, climate, criticism, daughter, day, days, Family, Feature, heat, Holiday, Journey, Kid, Leisure, Midnight, night, nights, Staycation, Vacation]"
53,,"[#108:26, #107:55, #108:83, #107:112, #108:140, #107:169]",hotel preferences,"[ choice, variety, option, selection, needs, choices, range, varieties, combination, collection, collections, kinds, provision, selections, alternative, Membership, pet, Pet friendly, Portion, Prefrence]"
55,[#105:9],"[#108:27, #107:56, #108:84, #107:113, #108:141, #107:170]",pricing,"[ charge, fare, fares, pricing, tax, bucks, spending, charges, discount, price, payment, bill, cheque, money, amount, cash, rates, costing, rate, tariff, cost, coupon, coupon, deposit, fee]"
57,[#106:10],"[#108:28, #107:57, #108:85, #107:114, #108:142, #107:171]",reputation,"[ deal, expectation, expectations, level, touch, rating, levels, waste, worth, offers, offer, touches, bucks, voucher, vouchers, offering, offerings, bonus, ratings, reputation, bargain, bargains, extras, grade, value, parking, margins, incentive, pocket, recommendation, check, budget, package, deals, card, cards, credit card, credit cards, redeem, upgrade]"
